bridge_id,latitude,longitude,status
1118834166,28.5494763,77.0547689,Unidentified
1118834166,28.5493443,77.054878,Unidentified
1118834166,28.5489658,77.055208,Unidentified
1118909931,28.6535511,77.0001346,Unidentified
1118909931,28.6546551,77.0007579,Unidentified
1118909932,28.654636,77.0008769,Unidentified
1118909932,28.6535799,77.0003167,Unidentified
1118936174,28.5511265,77.0535728,Unidentified
1118936174,28.5511852,77.0534447,Unidentified
1118936174,28.5512246,77.0533834,Unidentified
1118936174,28.5515427,77.0531919,Unidentified
1118936174,28.5518472,77.0530064,Unidentified
1118936174,28.5520746,77.0528594,Unidentified
1118936174,28.5522841,77.0526661,Unidentified
1118936174,28.5524497,77.0524854,Unidentified
1118936174,28.5525845,77.0522864,Unidentified
1118936174,28.5527122,77.0520386,Unidentified
1118936174,28.5528055,77.0518059,Unidentified
1118936174,28.5528812,77.0515538,Unidentified
1118936174,28.5529508,77.0512089,Unidentified
1118936174,28.552971,77.0508611,Unidentified
1118936174,28.5529519,77.0505396,Unidentified
1118936174,28.5529031,77.0502382,Unidentified
1118936174,28.5528155,77.0499308,Unidentified
1118936174,28.5526909,77.0496471,Unidentified
1118936174,28.5525559,77.0494249,Unidentified
1118936174,28.5523768,77.0491683,Unidentified
1118936174,28.5521691,77.0489555,Unidentified
1118936174,28.551938,77.0487486,Unidentified
1118936174,28.5516447,77.0485003,Unidentified
1118936174,28.5513617,77.0482727,Unidentified
1118936174,28.5510709,77.048054,Unidentified
1118936174,28.5505076,77.0476166,Unidentified
1118936174,28.5502367,77.0473862,Unidentified
1118959393,28.5571278,77.0431764,Unidentified
1118959393,28.5570642,77.0430776,Unidentified
1118959393,28.5570212,77.0429995,Unidentified
1118959393,28.5569968,77.042898,Unidentified
1118959393,28.5569999,77.0428105,Unidentified
1118959393,28.5570121,77.0427224,Unidentified
1118959393,28.5570489,77.0424898,Unidentified
1118959393,28.5571132,77.041873,Unidentified
1118959393,28.5571734,77.0412739,Unidentified
1118959398,28.5582628,77.0435094,Unidentified
1118959398,28.5587072,77.0438358,Unidentified
1118959399,28.5583997,77.0442638,Unidentified
1118959399,28.5584725,77.0438317,Unidentified
1118959399,28.558628,77.0434102,Unidentified
1118959399,28.558802,77.0430436,Unidentified
1118959400,28.5594136,77.0421502,Unidentified
1118959400,28.5598021,77.041026,Unidentified
1118959400,28.5600211,77.0402638,Unidentified
1118959400,28.5601829,77.0395542,Unidentified
1118959400,28.5604197,77.0382391,Unidentified
1118959400,28.560492,77.0375331,Unidentified
1118959400,28.5605487,77.0367323,Unidentified
1118959401,28.5606991,77.0363312,Unidentified
1118959401,28.5606574,77.0371378,Unidentified
1118959401,28.5605921,77.03794,Unidentified
1118959401,28.5604693,77.0387602,Unidentified
1118959401,28.560332,77.0395173,Unidentified
1118959401,28.5602499,77.0399149,Unidentified
1118959401,28.5601564,77.040315,Unidentified
1118959401,28.5599214,77.0410898,Unidentified
1118959401,28.5595343,77.0422207,Unidentified
1118959402,28.5574328,77.0458739,Unidentified
1118959402,28.5581435,77.0447082,Unidentified
1118959402,28.5583997,77.0442638,Unidentified
1118959402,28.5585891,77.0439352,Unidentified
1118959402,28.5589368,77.0432411,Unidentified
1118959402,28.5594136,77.0421502,Unidentified
1118959403,28.5595343,77.0422207,Unidentified
1118959403,28.5592316,77.042905,Unidentified
1118959403,28.5588127,77.043777,Unidentified
1118959403,28.5582302,77.044839,Unidentified
1118959403,28.5575474,77.0459063,Unidentified
1118959404,28.5550037,77.0499323,Unidentified
1118959404,28.5550003,77.0498185,Unidentified
1118959404,28.5550201,77.0497275,Unidentified
1118959404,28.555114,77.0495022,Unidentified
1118959404,28.5552226,77.0492718,Unidentified
1118959404,28.5554734,77.0487699,Unidentified
1118959404,28.5556572,77.0484221,Unidentified
1118959404,28.5558064,77.0481639,Unidentified
1118959404,28.5558514,77.0480861,Unidentified
1118959404,28.5562578,77.0474348,Unidentified
1118959406,28.5509632,77.0473196,Unidentified
1118959406,28.551576,77.0477075,Unidentified
